Designator,Mid X,Mid Y,Rotation,Layer
H1,3.0,3.0,0.0,top
H2,67.0,3.0,0.0,top
H3,3.0,42.0,0.0,top
H4,67.0,42.0,0.0,top
U1,26.0,19.0,0.0,top
C6,26.0,11.0,0.0,top
C7,18.0,19.0,90.0,top
C8,34.0,19.0,90.0,top
C9,26.0,27.0,0.0,top
C10,22.5,11.0,0.0,top
R1,29.5,11.0,0.0,top
R2,18.0,15.5,90.0,top
R3,34.0,15.5,90.0,top
R4,18.0,22.5,90.0,top
R7,34.0,22.5,90.0,top
R8,18.0,30.0,0.0,top
R9,29.5,27.0,0.0,top
C11,19.5,12.0,90.0,top
C12,32.5,12.0,90.0,top
C13,13.0,25.5,0.0,top
C14,33.0,25.5,0.0,top
J3,56.0,34.0,0.0,top
J4,64.0,12.0,0.0,top
J2,36.0,34.0,0.0,top
C4,36.0,31.5,0.0,top
J5,5.0,8.5,0.0,top
J6,5.0,18.0,0.0,top
J1,5.0,28.0,0.0,top
C1,2.0,28.0,90.0,top
SW1,12.0,4.0,0.0,top
SW2,21.5,4.0,0.0,top
U2,12.0,33.0,0.0,top
C2,12.0,30.0,0.0,top
C3,12.0,36.0,0.0,top
C5,8.5,33.0,90.0,top
TP1,28.5,2.5,0.0,top
TP2,32.5,2.5,0.0,top
TP3,36.5,2.5,0.0,top
TP4,40.5,2.5,0.0,top
D1,44.5,1.5,0.0,top
D2,48.0,1.5,0.0,top
R5,51.5,1.5,0.0,top
R6,55.0,1.5,0.0,top
