Reference,Manufacturer,MPN,LCSC,SupplierEvidenceIds,ProcurementStatus,ProcurementBlockers
U1,,STM32G070RBT6,,,partial,U1:supplier_evidence_unavailable
J1,,,,,partial,J1:supplier_evidence_unavailable
J2,,,,,partial,J2:supplier_evidence_unavailable
J3,,,,,partial,J3:supplier_evidence_unavailable
J4,,,,,partial,J4:supplier_evidence_unavailable
J5,,,,,partial,J5:supplier_evidence_unavailable
J6,,,,,partial,J6:supplier_evidence_unavailable
U2,,AP2112K-3.3,,,partial,U2:supplier_evidence_unavailable
SW1,,,,,partial,SW1:supplier_evidence_unavailable
SW2,,,,,partial,SW2:supplier_evidence_unavailable
D1,,,,,partial,D1:supplier_evidence_unavailable
D2,,,,,partial,D2:supplier_evidence_unavailable
R1,,,,,partial,R1:supplier_evidence_unavailable
R2,,,,,partial,R2:supplier_evidence_unavailable
R3,,,,,partial,R3:supplier_evidence_unavailable
R4,,,,,partial,R4:supplier_evidence_unavailable
R5,,,,,partial,R5:supplier_evidence_unavailable
R6,,,,,partial,R6:supplier_evidence_unavailable
R7,,,,,partial,R7:supplier_evidence_unavailable
R8,,,,,partial,R8:supplier_evidence_unavailable
R9,,,,,partial,R9:supplier_evidence_unavailable
C1,,,,,partial,C1:supplier_evidence_unavailable
C2,,,,,partial,C2:supplier_evidence_unavailable
C3,,,,,partial,C3:supplier_evidence_unavailable
C4,,,,,partial,C4:supplier_evidence_unavailable
C5,,,,,partial,C5:supplier_evidence_unavailable
C6,,,,,partial,C6:supplier_evidence_unavailable
C7,,,,,partial,C7:supplier_evidence_unavailable
C8,,,,,partial,C8:supplier_evidence_unavailable
C9,,,,,partial,C9:supplier_evidence_unavailable
C10,,,,,partial,C10:supplier_evidence_unavailable
C11,,,,,partial,C11:supplier_evidence_unavailable
C12,,,,,partial,C12:supplier_evidence_unavailable
C13,,,,,partial,C13:supplier_evidence_unavailable
C14,,,,,partial,C14:supplier_evidence_unavailable
TP1,,,,,partial,TP1:supplier_evidence_unavailable
TP2,,,,,partial,TP2:supplier_evidence_unavailable
TP3,,,,,partial,TP3:supplier_evidence_unavailable
TP4,,,,,partial,TP4:supplier_evidence_unavailable
H1,,,,,not_applicable,
H2,,,,,not_applicable,
H3,,,,,not_applicable,
H4,,,,,not_applicable,
